0-Mil-neg.,1-Public works,2-FR invasion,3-Malfeasance,4-Leader_Success.,5-Tun-Alg conflict,6-Ill_Death,7-Defense-Con.,8-Rel_Gov_Power,9-FR-Conc.,10-unknown,11-Intern-discord,12-Councilmen-act.,13-Fall-Con.,14-Desert-comm.,15-Grand tribes,16-Ott-Tribes-neg.,17-Women,18-Alg-mil-resist.,19-Despotic-rule
0.000106,0.000034,0.000015,0.000211,0.394879,0.30242,0.000093,0.000198,0.000213,0.000166,0.003511,0.000086,0.000154,0.000043,0.000059,0.0003,0.297349,0.000044,0.000089,0.00003
0.011181,0.003617,0.001528,0.022189,0.547392,0.031075,0.009753,0.201273,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.039399,0.004591,0.009355,0.003104
0.003016,0.000976,0.000412,0.005986,0.634491,0.008383,0.002631,0.005612,0.298148,0.004698,0.002217,0.002436,0.004362,0.001232,0.001672,0.008501,0.010628,0.001238,0.002524,0.000837
0.000191,0.000062,0.000026,0.00038,0.482267,0.012895,0.389607,0.003447,0.000384,0.015752,0.000141,0.000155,0.000277,0.000078,0.000106,0.00054,0.093399,0.000079,0.00016,0.000053
0.000197,0.000064,0.000027,0.022646,0.387972,0.251707,0.000172,0.000367,0.000395,0.003486,0.000145,0.000159,0.003464,0.00008,0.000109,0.016451,0.312259,0.000081,0.000165,0.000055
0.009472,0.003064,0.001294,0.018797,0.616585,0.026324,0.008262,0.170503,0.019005,0.014753,0.006961,0.007649,0.013698,0.003869,0.005252,0.026694,0.033376,0.003889,0.007925,0.00263
0.011181,0.003617,0.001528,0.022189,0.547392,0.211542,0.009753,0.020806,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.039399,0.004591,0.009355,0.003104
0.003385,0.000013,0.000006,0.020142,0.433979,0.030873,0.000036,0.000077,0.000083,0.001402,0.00003,0.002039,0.00006,0.000017,0.000692,0.000117,0.314413,0.000017,0.000035,0.192584
0.000322,0.005298,0.000044,0.000639,0.690934,0.234611,0.000281,0.000599,0.000646,0.000501,0.000236,0.00026,0.000465,0.000131,0.005372,0.058038,0.001134,0.000132,0.000269,0.000089
0.000146,0.000047,0.00002,0.000289,0.425419,0.096753,0.000127,0.000271,0.000292,0.000227,0.000107,0.000118,0.000211,0.000059,0.000081,0.00041,0.235508,0.239755,0.000122,0.00004
0.009888,0.000096,0.000041,0.115675,0.311848,0.115911,0.000259,0.000553,0.000596,0.048415,0.000218,0.129711,0.00043,0.000121,0.000165,0.000837,0.264784,0.000122,0.000249,0.000082
0.011181,0.003617,0.001528,0.022189,0.547392,0.031075,0.009753,0.020806,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.219866,0.004591,0.009355,0.003104
0.002513,0.000047,0.00002,0.000291,0.433172,0.009874,0.000128,0.090205,0.000294,0.281858,0.000108,0.000118,0.000212,0.00006,0.000081,0.180277,0.000517,0.00006,0.000123,0.000041
0.001456,0.000471,0.000199,0.14393,0.588446,0.027554,0.00127,0.00271,0.002922,0.002268,0.00107,0.095203,0.002106,0.000595,0.000807,0.051118,0.075652,0.000598,0.001219,0.000404
0.000555,0.00018,0.000076,0.001102,0.340979,0.064301,0.000485,0.001034,0.01008,0.242928,0.000408,0.000449,0.009769,0.000227,0.000308,0.001565,0.324708,0.000228,0.000465,0.000154
0.001908,0.000036,0.000015,0.000221,0.50137,0.0057,0.000097,0.000207,0.000223,0.240946,0.000082,0.00009,0.000161,0.000045,0.000062,0.24468,0.003986,0.000046,0.000093,0.000031
0.011181,0.003617,0.001528,0.202656,0.547392,0.031075,0.009753,0.020806,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.039399,0.004591,0.009355,0.003104
0.000083,0.000027,0.000011,0.000165,0.397605,0.002917,0.000073,0.000155,0.000167,0.00013,0.000061,0.454038,0.00012,0.000034,0.000046,0.001578,0.14132,0.000034,0.001413,0.000023
0.000506,0.000164,0.000069,0.001003,0.285889,0.058529,0.000441,0.000941,0.286633,0.000788,0.000372,0.000408,0.000731,0.000207,0.00028,0.058549,0.303721,0.000208,0.000423,0.00014
0.011181,0.003617,0.001528,0.022189,0.547392,0.031075,0.009753,0.020806,0.202902,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.039399,0.004591,0.009355,0.003104
0.008216,0.002658,0.001123,0.016304,0.667428,0.022833,0.007167,0.015288,0.016485,0.012797,0.006038,0.006635,0.011881,0.003356,0.004555,0.023154,0.161555,0.003373,0.006874,0.002281
0.011032,0.000072,0.000031,0.195009,0.529771,0.00062,0.003798,0.000415,0.000448,0.000348,0.000164,0.00018,0.003926,0.000091,0.000124,0.238432,0.015199,0.000092,0.000187,0.000062
0.000769,0.000249,0.000105,0.001527,0.434972,0.002138,0.000671,0.001431,0.013959,0.001198,0.000565,0.000621,0.001112,0.000314,0.261163,0.27532,0.002711,0.000316,0.000644,0.000214
0.000286,0.000093,0.000039,0.000568,0.34189,0.000795,0.101847,0.00515,0.055991,0.000446,0.00021,0.009467,0.000414,0.000117,0.000159,0.005424,0.268856,0.20793,0.000239,0.000079
0.00012,0.000039,0.000016,0.007982,0.373703,0.000333,0.002041,0.14542,0.000241,0.000187,0.205299,0.000097,0.019533,0.000049,0.000067,0.000338,0.244353,0.000049,0.0001,0.000033
0.013744,0.000068,0.000029,0.000416,0.599014,0.014117,0.000183,0.00039,0.227123,0.000327,0.000154,0.000169,0.000303,0.000086,0.0035,0.125785,0.014273,0.000086,0.000175,0.000058
0.000044,0.000014,0.000006,0.000088,0.429965,0.042401,0.000039,0.061707,0.015137,0.241553,0.000033,0.000036,0.000064,0.000018,0.000025,0.20793,0.000156,0.000018,0.000754,0.000012
0.000155,0.00005,0.000021,0.000308,0.360496,0.11306,0.000135,0.012803,0.000311,0.122882,0.000114,0.000125,0.000224,0.000063,0.000086,0.000437,0.388491,0.000064,0.00013,0.000043
0.000036,0.097851,0.000005,0.000646,0.386197,0.021969,0.089238,0.000066,0.000072,0.004084,0.000026,0.000604,0.000052,0.000015,0.088651,0.0001,0.310334,0.000015,0.00003,0.00001
0.000501,0.000162,0.000069,0.000995,0.445464,0.333267,0.000437,0.041406,0.001006,0.000781,0.000369,0.000405,0.000725,0.000205,0.000278,0.171397,0.001767,0.000206,0.00042,0.000139
0.048337,0.00008,0.000034,0.437294,0.501052,0.00069,0.000217,0.000462,0.000498,0.000387,0.000182,0.0002,0.000359,0.000101,0.000138,0.008714,0.000875,0.000102,0.000208,0.000069
0.00494,0.001598,0.000675,0.009804,0.720283,0.01373,0.004309,0.009193,0.009912,0.007695,0.003631,0.003989,0.007144,0.002018,0.002739,0.09366,0.097145,0.002028,0.004133,0.001372
0.00011,0.000036,0.000015,0.003774,0.458692,0.005639,0.000096,0.001983,0.001999,0.000172,0.001859,0.341397,0.000159,0.000045,0.000061,0.002088,0.181708,0.000045,0.000092,0.000031
0.058601,0.000051,0.000022,0.000312,0.480339,0.013143,0.010301,0.028244,0.013021,0.241643,0.000116,0.000127,0.000228,0.000064,0.000087,0.150364,0.003096,0.000065,0.000132,0.000044
0.000139,0.000045,0.000019,0.000276,0.511812,0.303389,0.000121,0.033926,0.000279,0.000217,0.000102,0.000112,0.000201,0.000057,0.000077,0.146282,0.002734,0.000057,0.000116,0.000039
0.000286,0.000093,0.000039,0.000568,0.346508,0.000795,0.328132,0.000532,0.000574,0.000446,0.00021,0.000231,0.000414,0.000117,0.000159,0.033133,0.287328,0.000117,0.000239,0.000079
0.191648,0.003617,0.001528,0.022189,0.547392,0.031075,0.009753,0.020806,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.039399,0.004591,0.009355,0.003104
0.00076,0.000246,0.000104,0.001508,0.589067,0.014375,0.000663,0.001414,0.001525,0.037975,0.000558,0.000614,0.001099,0.00031,0.000421,0.345526,0.002677,0.000312,0.000636,0.000211
0.000353,0.000114,0.000048,0.0007,0.438833,0.000981,0.000308,0.000657,0.205788,0.06891,0.000259,0.000285,0.00051,0.000144,0.000196,0.211771,0.05821,0.000145,0.011689,0.000098
0.000101,0.000033,0.000014,0.010029,0.383321,0.216484,0.00664,0.072256,0.000204,0.000158,0.000075,0.000082,0.000147,0.000041,0.000056,0.003562,0.298454,0.000042,0.008274,0.000028
0.009472,0.003064,0.001294,0.018797,0.769463,0.026324,0.008262,0.017625,0.019005,0.014753,0.006961,0.007649,0.013698,0.003869,0.005252,0.026694,0.033376,0.003889,0.007925,0.00263
0.011181,0.003617,0.001528,0.022189,0.547392,0.031075,0.009753,0.020806,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.211979,0.039399,0.004591,0.009355,0.003104
0.000269,0.000087,0.000037,0.204401,0.442581,0.000747,0.000234,0.004838,0.000539,0.004756,0.017548,0.000217,0.000389,0.00011,0.000149,0.000757,0.321931,0.00011,0.000225,0.000075
0.000275,0.000089,0.004471,0.098088,0.39032,0.005197,0.00024,0.040415,0.000551,0.000428,0.000202,0.000222,0.004831,0.000112,0.000152,0.000774,0.453214,0.000113,0.00023,0.000076
0.011181,0.003617,0.001528,0.022189,0.727859,0.031075,0.009753,0.020806,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.039399,0.004591,0.009355,0.003104
0.009472,0.003064,0.001294,0.018797,0.769463,0.026324,0.008262,0.017625,0.019005,0.014753,0.006961,0.007649,0.013698,0.003869,0.005252,0.026694,0.033376,0.003889,0.007925,0.00263
0.000153,0.000049,0.000021,0.000303,0.547499,0.170568,0.000133,0.000284,0.209903,0.000238,0.000112,0.000123,0.049538,0.000062,0.000085,0.000431,0.020265,0.000063,0.000128,0.000042
0.162349,0.003064,0.001294,0.018797,0.463708,0.179202,0.008262,0.017625,0.019005,0.014753,0.006961,0.007649,0.013698,0.003869,0.005252,0.026694,0.033376,0.003889,0.007925,0.00263
0.000175,0.000057,0.000024,0.000347,0.575485,0.000486,0.002973,0.003146,0.034197,0.29925,0.000128,0.000141,0.059484,0.000071,0.000097,0.000492,0.02318,0.000072,0.000146,0.000049
0.000086,0.000028,0.000012,0.00155,0.403059,0.011279,0.000075,0.000159,0.000172,0.000133,0.000063,0.000069,0.000124,0.000035,0.000047,0.000241,0.272198,0.000035,0.310613,0.000024
0.000075,0.006066,0.00001,0.08957,0.46044,0.000208,0.006107,0.002556,0.00015,0.000117,0.035099,0.00006,0.000108,0.000031,0.000042,0.000211,0.399036,0.000031,0.000063,0.000021
0.000076,0.000025,0.00001,0.000151,0.521219,0.000212,0.000066,0.000142,0.000153,0.060349,0.199185,0.028333,0.189406,0.000031,0.000042,0.000215,0.000268,0.000031,0.000064,0.000021
0.009472,0.003064,0.001294,0.018797,0.769463,0.026324,0.008262,0.017625,0.019005,0.014753,0.006961,0.007649,0.013698,0.003869,0.005252,0.026694,0.033376,0.003889,0.007925,0.00263
0.00317,0.001026,0.000433,0.006292,0.462265,0.008812,0.002766,0.0059,0.466928,0.004938,0.00233,0.00256,0.004585,0.001295,0.001758,0.008936,0.011172,0.001302,0.002653,0.00088
0.000273,0.000088,0.000037,0.344851,0.503366,0.00076,0.000239,0.004923,0.044691,0.079882,0.000201,0.000221,0.013638,0.000112,0.000152,0.005185,0.000964,0.000112,0.000229,0.000076
0.000147,0.000048,0.00002,0.104919,0.504191,0.000409,0.000129,0.031187,0.024074,0.000229,0.000108,0.000119,0.000213,0.01195,0.306829,0.000415,0.014786,0.00006,0.000123,0.000041
0.000108,0.000035,0.000015,0.007214,0.470715,0.000301,0.000095,0.000202,0.500619,0.000169,0.015827,0.000088,0.000157,0.000044,0.00006,0.003805,0.000382,0.000045,0.000091,0.00003
0.009472,0.003064,0.001294,0.018797,0.616585,0.026324,0.008262,0.017625,0.019005,0.014753,0.006961,0.007649,0.013698,0.003869,0.005252,0.179572,0.033376,0.003889,0.007925,0.00263
0.000642,0.000208,0.000088,0.011632,0.476824,0.032858,0.00056,0.001194,0.446693,0.001,0.000472,0.000518,0.000928,0.000262,0.000356,0.022525,0.002261,0.000263,0.000537,0.000178
0.000149,0.000048,0.00002,0.338019,0.506664,0.002828,0.00013,0.000278,0.0003,0.002645,0.00011,0.000121,0.082235,0.000061,0.000083,0.005246,0.002939,0.000061,0.05802,0.000041
0.000239,0.000077,0.000033,0.015886,0.489453,0.000663,0.000208,0.000444,0.45898,0.000372,0.000175,0.000193,0.000345,0.000098,0.000132,0.000673,0.000841,0.000098,0.031023,0.000066
0.00008,0.000026,0.000011,0.000158,0.609154,0.167631,0.00007,0.110896,0.015613,0.007851,0.018087,0.000064,0.04905,0.000033,0.000044,0.000225,0.000281,0.020637,0.000067,0.000022
0.000214,0.000069,0.000029,0.276724,0.369665,0.000595,0.000187,0.003852,0.003883,0.000333,0.000157,0.000173,0.000309,0.000087,0.003572,0.000603,0.325406,0.000088,0.013994,0.000059
0.000016,0.000005,0.246575,0.000032,0.406267,0.000045,0.001058,0.002378,0.000032,0.026118,0.000012,0.00184,0.000284,0.08298,0.000009,0.000306,0.232018,0.000007,0.000014,0.000004
0.000842,0.000273,0.000115,0.001672,0.802723,0.029537,0.000735,0.015165,0.00169,0.001312,0.000619,0.00068,0.042012,0.000344,0.000467,0.083961,0.002969,0.000346,0.000705,0.013832
0.000209,0.000068,0.000029,0.000415,0.512688,0.000581,0.000182,0.000389,0.378107,0.000325,0.000154,0.000169,0.08798,0.000085,0.000116,0.010705,0.007481,0.000086,0.000175,0.000058
0.000072,0.000023,0.00001,0.000143,0.525231,0.002518,0.311932,0.000134,0.112603,0.000112,0.000053,0.000058,0.016335,0.000029,0.006996,0.02339,0.000253,0.000029,0.00006,0.00002
0.014622,0.000026,0.000011,0.000163,0.541984,0.288381,0.000071,0.001474,0.000164,0.000128,0.00006,0.000066,0.142873,0.000033,0.000045,0.000231,0.009541,0.000034,0.000069,0.000023
0.000209,0.000068,0.000029,0.202747,0.522805,0.000581,0.000182,0.000389,0.000419,0.000325,0.000154,0.000169,0.023908,0.027063,0.003488,0.206294,0.010853,0.000086,0.000175,0.000058
0.000176,0.000057,0.000024,0.21309,0.351826,0.000488,0.000153,0.093933,0.000353,0.000274,0.000129,0.000142,0.000254,0.000072,0.000097,0.295496,0.037494,0.000072,0.000147,0.005722
0.000019,0.000006,0.000003,0.045555,0.477168,0.000053,0.000017,0.041528,0.013353,0.00003,0.000014,0.027883,0.15361,0.000008,0.000011,0.000054,0.000068,0.000627,0.000945,0.239049
0.000056,0.000018,0.000008,0.020859,0.548499,0.255446,0.000049,0.000104,0.086712,0.034366,0.006356,0.000045,0.022633,0.000023,0.000031,0.024514,0.000197,0.000023,0.000047,0.000016
0.01559,0.000077,0.000032,0.138646,0.618072,0.019852,0.000207,0.000442,0.000477,0.00037,0.000175,0.061603,0.107813,0.000097,0.000132,0.00067,0.035381,0.000098,0.000199,0.000066
0.000039,0.000013,0.000005,0.000077,0.571524,0.046005,0.000034,0.000072,0.029628,0.000061,0.000029,0.000031,0.034636,0.000016,0.000022,0.00011,0.000137,0.317518,0.000033,0.000011
0.000878,0.000284,0.028472,0.100976,0.652572,0.002441,0.000766,0.001634,0.086819,0.001368,0.000645,0.114118,0.00127,0.000359,0.000487,0.002475,0.003095,0.000361,0.000735,0.000244
0.000077,0.000025,0.000011,0.003906,0.506582,0.013973,0.000068,0.005147,0.000155,0.001371,0.000057,0.000063,0.000112,0.000032,0.000043,0.172817,0.000273,0.000032,0.295234,0.000022
0.024195,0.00004,0.000017,0.060422,0.635922,0.000345,0.000108,0.000231,0.000249,0.002199,0.000091,0.0001,0.004191,0.000051,0.000069,0.19893,0.00445,0.000051,0.068303,0.000035
0.000779,0.000252,0.000106,0.02669,0.691883,0.002165,0.000679,0.001449,0.227861,0.001213,0.000572,0.000629,0.001126,0.000318,0.000432,0.002195,0.040461,0.00032,0.000652,0.000216
0.000334,0.000108,0.000046,0.000663,0.372064,0.000928,0.000291,0.006011,0.469569,0.00052,0.000245,0.00027,0.000483,0.000136,0.000185,0.141072,0.006566,0.000137,0.000279,0.000093
0.000043,0.000014,0.000006,0.004215,0.510852,0.000119,0.000037,0.029683,0.013855,0.000066,0.000031,0.358716,0.081987,0.000017,0.000024,0.00012,0.00015,0.000018,0.000036,0.000012
0.011181,0.003617,0.001528,0.022189,0.547392,0.031075,0.009753,0.020806,0.022434,0.017416,0.008217,0.189496,0.01617,0.004567,0.006199,0.031511,0.039399,0.004591,0.009355,0.003104
0.000087,0.000028,0.000012,0.000173,0.478615,0.000242,0.002883,0.174187,0.021226,0.000135,0.247067,0.00007,0.071701,0.000036,0.000048,0.000245,0.000306,0.000036,0.00288,0.000024
0.000103,0.000033,0.000014,0.000205,0.438724,0.000287,0.055132,0.000192,0.081937,0.000161,0.000076,0.000083,0.011825,0.005046,0.382016,0.000291,0.000364,0.016722,0.006758,0.000029
0.000014,0.158741,0.000002,0.000028,0.46101,0.012941,0.029963,0.023756,0.046567,0.000022,0.00001,0.000012,0.103925,0.000006,0.144921,0.001192,0.004197,0.012677,0.000012,0.000004
0.000165,0.000053,0.000022,0.042819,0.502025,0.000457,0.000144,0.000306,0.024232,0.06665,0.212581,0.055904,0.000238,0.000067,0.000091,0.000464,0.00058,0.000068,0.093089,0.000046
0.008216,0.002658,0.001123,0.016304,0.800034,0.022833,0.007167,0.015288,0.016485,0.012797,0.006038,0.006635,0.011881,0.003356,0.004555,0.023154,0.02895,0.003373,0.006874,0.002281
0.000135,0.108611,0.000018,0.000267,0.464743,0.000374,0.291079,0.00025,0.052383,0.00021,0.000099,0.000109,0.080535,0.000055,0.000075,0.000379,0.000474,0.000055,0.000113,0.000037
0.054294,0.000025,0.00001,0.000152,0.53729,0.002677,0.000067,0.037109,0.000153,0.000119,0.000056,0.214469,0.138119,0.000031,0.014829,0.000215,0.000269,0.000031,0.000064,0.000021
0.000131,0.000042,0.000018,0.26902,0.558752,0.000364,0.000114,0.015057,0.042587,0.000204,0.000096,0.000106,0.00019,0.000054,0.000073,0.055391,0.000462,0.000054,0.057248,0.000036
0.030102,0.03101,0.000001,0.000012,0.389321,0.000119,0.000005,0.145018,0.000013,0.00001,0.000309,0.000005,0.000009,0.303492,0.000003,0.085542,0.000022,0.000003,0.015002,0.000002
0.019734,0.000049,0.004916,0.000301,0.678103,0.237852,0.000132,0.03455,0.000304,0.000236,0.000111,0.000122,0.017353,0.004957,0.000084,0.000427,0.000534,0.000062,0.000127,0.000042
0.000041,0.000013,0.000006,0.007339,0.51403,0.000114,0.145858,0.000076,0.233662,0.000064,0.00003,0.000033,0.093755,0.000017,0.000023,0.000115,0.000144,0.000017,0.000694,0.00397
0.000167,0.000054,0.000023,0.344842,0.600292,0.000463,0.000145,0.00031,0.000335,0.00026,0.000123,0.000135,0.040614,0.000068,0.000092,0.00047,0.005971,0.000068,0.005523,0.000046
0.000053,0.000017,0.000007,0.000106,0.478703,0.11379,0.086139,0.031953,0.000107,0.012136,0.000039,0.000043,0.000077,0.018101,0.00003,0.234322,0.000188,0.000022,0.024151,0.000015
0.004575,0.00148,0.000625,0.00908,0.74094,0.160414,0.003991,0.008514,0.00918,0.007127,0.003362,0.003695,0.006617,0.001869,0.002537,0.012895,0.016122,0.001879,0.003828,0.00127
0.000751,0.000243,0.000103,0.037835,0.460778,0.050547,0.000655,0.001397,0.001506,0.352509,0.012667,0.000606,0.001086,0.000307,0.000416,0.002115,0.075336,0.000308,0.000628,0.000208
0.156434,0.000036,0.000015,0.000221,0.478012,0.203349,0.000097,0.000207,0.000223,0.000173,0.000082,0.00009,0.000161,0.000045,0.000062,0.16023,0.000392,0.000046,0.000093,0.000031
0.14619,0.000016,0.000007,0.000907,0.496579,0.000139,0.000044,0.021086,0.0001,0.032374,0.000037,0.00004,0.000072,0.00002,0.000835,0.134977,0.000176,0.000021,0.000042,0.166339
0.000195,0.000063,0.000027,0.000387,0.277234,0.022587,0.00017,0.000363,0.000391,0.318373,0.000143,0.000158,0.000282,0.00008,0.000108,0.00055,0.378591,0.00008,0.000163,0.000054
0.008216,0.002658,0.001123,0.016304,0.667428,0.155439,0.007167,0.015288,0.016485,0.012797,0.006038,0.006635,0.011881,0.003356,0.004555,0.023154,0.02895,0.003373,0.006874,0.002281
0.000119,0.000038,0.000016,0.000235,0.562699,0.249114,0.000103,0.000221,0.000238,0.000185,0.000087,0.000096,0.000171,0.000048,0.000066,0.155346,0.009986,0.000049,0.02115,0.000033
0.000218,0.00007,0.00003,0.320245,0.481594,0.032235,0.00019,0.000405,0.025038,0.000339,0.00016,0.014234,0.12332,0.000089,0.000121,0.000614,0.000767,0.000089,0.000182,0.00006
0.000047,0.000015,0.000006,0.048817,0.524562,0.000131,0.000041,0.000088,0.000095,0.00388,0.005364,0.000038,0.178974,0.000019,0.000026,0.000894,0.000166,0.000019,0.213204,0.023613
0.000269,0.000087,0.000037,0.000533,0.386192,0.000747,0.000234,0.0005,0.009214,0.121872,0.000198,0.000217,0.000389,0.00011,0.000149,0.000757,0.473748,0.00011,0.004562,0.000075
0.138552,0.000054,0.000023,0.138717,0.464082,0.008607,0.000147,0.046441,0.000337,0.000262,0.000124,0.111385,0.000243,0.000069,0.000093,0.090016,0.000592,0.000069,0.000141,0.000047
0.000044,0.000014,0.000006,0.000088,0.518102,0.023054,0.000039,0.000083,0.000806,0.000069,0.000033,0.000036,0.000781,0.000018,0.007907,0.256656,0.000156,0.192058,0.000037,0.000012
0.000238,0.000077,0.000032,0.000472,0.387782,0.365287,0.000207,0.000442,0.000477,0.00037,0.000175,0.000192,0.000344,0.000097,0.000132,0.008347,0.234966,0.000098,0.000199,0.000066
0.000301,0.000098,0.000041,0.005463,0.54993,0.107872,0.019724,0.000561,0.000605,0.00047,0.000222,0.000243,0.005301,0.004988,0.000167,0.234379,0.001062,0.000124,0.068365,0.000084
0.000184,0.000059,0.000025,0.041841,0.364498,0.00051,0.00016,0.000342,0.000368,0.260995,0.00606,0.000148,0.000265,0.000075,0.003064,0.000517,0.320608,0.000075,0.000154,0.000051
0.004452,0.000084,0.000035,0.075974,0.402585,0.000722,0.000227,0.000483,0.055019,0.000405,0.125955,0.004402,0.00876,0.000106,0.000144,0.030077,0.290173,0.000107,0.000217,0.000072
0.068332,0.00129,0.000545,0.007911,0.581243,0.01108,0.003478,0.007418,0.26538,0.00621,0.00293,0.003219,0.005765,0.001628,0.00221,0.011235,0.014048,0.001637,0.003335,0.001107
0.011181,0.003617,0.001528,0.022189,0.727859,0.031075,0.009753,0.020806,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.039399,0.004591,0.009355,0.003104
0.000809,0.000262,0.000111,0.001606,0.444639,0.00225,0.000706,0.027636,0.197597,0.001261,0.000595,0.000654,0.001171,0.000331,0.000449,0.289708,0.028982,0.000332,0.000677,0.000225
0.169374,0.000037,0.000016,0.000226,0.520721,0.002157,0.000099,0.136356,0.000229,0.000178,0.000084,0.134397,0.000165,0.000047,0.000063,0.01136,0.01512,0.000047,0.000095,0.009231
0.000891,0.000288,0.000122,0.001768,0.417496,0.002476,0.000777,0.001658,0.001788,0.303367,0.000655,0.000719,0.001288,0.000364,0.000494,0.002511,0.261979,0.000366,0.000745,0.000247
0.001987,0.013513,0.000008,0.178425,0.605309,0.000166,0.000052,0.015532,0.00012,0.000093,0.000044,0.000048,0.138876,0.000024,0.013527,0.001132,0.02527,0.000025,0.005833,0.000017
0.013123,0.000065,0.000027,0.000397,0.339319,0.000556,0.000175,0.000372,0.000402,0.000312,0.000147,0.000162,0.000289,0.000082,0.000111,0.000564,0.446526,0.000082,0.197233,0.000056
0.008216,0.002658,0.001123,0.016304,0.667428,0.022833,0.007167,0.015288,0.016485,0.145402,0.006038,0.006635,0.011881,0.003356,0.004555,0.023154,0.02895,0.003373,0.006874,0.002281
0.000409,0.000132,0.000056,0.00741,0.442343,0.001136,0.000357,0.000761,0.00082,0.106219,0.0003,0.00033,0.000591,0.000167,0.000227,0.007751,0.430367,0.000168,0.000342,0.000114
0.33759,0.00155,0.000006,0.000094,0.378226,0.000899,0.000041,0.178832,0.003931,0.000074,0.022282,0.001573,0.000069,0.000019,0.000026,0.074547,0.000167,0.00002,0.00004,0.000013
0.148941,0.000034,0.000014,0.00021,0.46709,0.007138,0.000092,0.005329,0.000213,0.000165,0.000078,0.000086,0.000153,0.000043,0.000059,0.351001,0.019192,0.000044,0.000089,0.000029
0.000891,0.000288,0.000122,0.030528,0.403116,0.002476,0.000777,0.001658,0.001788,0.001388,0.058175,0.000719,0.001288,0.000364,0.043634,0.060031,0.391399,0.000366,0.000745,0.000247
0.00046,0.000149,0.000063,0.000914,0.282688,0.372913,0.000402,0.00829,0.000924,0.000717,0.000338,0.000372,0.000666,0.000188,0.000255,0.001298,0.32866,0.000189,0.000385,0.000128
0.000019,0.224701,0.000003,0.001608,0.411428,0.005703,0.000017,0.08006,0.000039,0.00003,0.000014,0.000016,0.000028,0.000008,0.053674,0.219415,0.003207,0.000008,0.000016,0.000005
0.193385,0.000044,0.000018,0.000267,0.4756,0.069857,0.000117,0.00025,0.00027,0.134834,0.000099,0.000109,0.000195,0.000055,0.000075,0.121975,0.000474,0.000055,0.002284,0.000037
0.000073,0.000023,0.00001,0.001314,0.340572,0.027117,0.007085,0.002475,0.000145,0.278625,0.000053,0.000059,0.000105,0.00003,0.00121,0.006055,0.334938,0.00003,0.000061,0.00002
0.007254,0.002347,0.000991,0.131475,0.706366,0.02016,0.006328,0.013498,0.014555,0.011299,0.005331,0.005858,0.01049,0.002963,0.004022,0.020443,0.025561,0.002978,0.006069,0.002014
0.000478,0.000155,0.000065,0.317451,0.432551,0.001329,0.000417,0.00089,0.00096,0.008465,0.000351,0.000386,0.000692,0.000195,0.000265,0.001348,0.233272,0.000196,0.0004,0.000133
0.00007,0.000023,0.00001,0.280689,0.508183,0.002447,0.000061,0.00013,0.0069,0.006869,0.005685,0.000056,0.093618,0.000029,0.000039,0.000197,0.010386,0.000029,0.000058,0.084523
0.000189,0.000061,0.000026,0.000375,0.522173,0.000526,0.143658,0.000352,0.033963,0.000295,0.000139,0.000153,0.000274,0.000077,0.000105,0.296679,0.000667,0.000078,0.000158,0.000053
0.000258,0.000083,0.000035,0.000511,0.399238,0.262625,0.000225,0.004637,0.012989,0.000401,0.037605,0.000208,0.00453,0.000105,0.000143,0.000726,0.266974,0.000106,0.00853,0.000072
0.000263,0.008576,0.000036,0.000522,0.271856,0.085642,0.000229,0.030208,0.000528,0.318825,0.000193,0.004458,0.00038,0.008599,0.000146,0.000741,0.268396,0.000108,0.00022,0.000073
0.189229,0.000059,0.000025,0.000363,0.617453,0.000509,0.00016,0.000341,0.000367,0.003239,0.000134,0.183287,0.000265,0.000075,0.000101,0.00347,0.000645,0.000075,0.000153,0.000051
0.05071,0.000018,0.000008,0.000111,0.437825,0.110509,0.000049,0.305837,0.000112,0.00461,0.000041,0.000045,0.00189,0.033491,0.000031,0.05443,0.000197,0.000023,0.000047,0.000016
0.000457,0.000148,0.000062,0.000907,0.49456,0.00127,0.000399,0.000851,0.052562,0.000712,0.000336,0.007747,0.000661,0.000187,0.000253,0.001288,0.222946,0.214145,0.000382,0.000127
0.000779,0.000252,0.000106,0.014118,0.427869,0.002165,0.000679,0.001449,0.001563,0.001213,0.000572,0.038345,0.001126,0.088323,0.000432,0.002195,0.417624,0.00032,0.000652,0.000216
0.276479,0.025274,0.000011,0.00415,0.611306,0.000229,0.000072,0.001482,0.001494,0.000128,0.000061,0.050562,0.000119,0.000034,0.000046,0.000232,0.001619,0.000034,0.026646,0.000023
0.000016,0.000005,0.132318,0.017301,0.555939,0.000044,0.002045,0.092727,0.014508,0.000025,0.009662,0.000013,0.10872,0.06553,0.000009,0.000044,0.000055,0.000006,0.001029,0.000004